#format table ## [Custom WaveView] saved 04:35:29 Wed Sep 24 2025
TIME ,current_in 
 6.988296294E-05 , 3.526212275E-01 
 6.992746248E-05 , 3.735496104E-01 
 6.994175004E-05 , 3.807140589E-01 
 6.998747024E-05 , 4.127352834E-01 
 7.001372372E-05 , 3.052074313E-01 
 7.001825266E-05 , 2.426837832E-01 
 7.002108763E-05 , 2.031077445E-01 
 7.003015956E-05 , 8.973295987E-02 
 7.003995208E-05 , 4.622549936E-02 
 7.005090569E-05 , 5.203916505E-02 
 7.006521659E-05 , 4.907794297E-02 
 7.007860709E-05 , 5.068093911E-02 
 7.009873141E-05 , 4.955172166E-02 
 7.011668699E-05 , 4.631579295E-02 
 7.012821765E-05 , 4.664004222E-02 
 7.013672460E-05 , 4.720058292E-02 
 7.013927921E-05 , 4.722538218E-02 
 7.014220625E-05 , 4.734238982E-02 
 7.014383225E-05 , 4.741753265E-02 
 7.014903548E-05 , 4.764394835E-02 
 7.015943291E-05 , 4.808773100E-02 
 7.018114201E-05 , 4.899387062E-02 
 7.022658156E-05 , 5.081063882E-02 
 7.029071737E-05 , 5.326939002E-02 
 7.040198674E-05 , 5.734243989E-02 
 7.060055417E-05 , 6.430872530E-02 
 7.086680275E-05 , 7.336632907E-02 
 7.122403974E-05 , 8.533541113E-02 
 7.169238387E-05 , 1.009497195E-01 
 7.233593800E-05 , 1.224945560E-01 
 7.255474785E-05 , 1.298877448E-01 
 7.292843656E-05 , 1.425650865E-01 
 7.404096584E-05 , 1.811512709E-01 
 7.474639949E-05 , 2.069346458E-01 
 7.573031790E-05 , 2.527626157E-01 
 7.592241446E-05 , 2.651988268E-01 
 7.621547135E-05 , 2.882686853E-01 
 7.639064114E-05 , 3.149535060E-01 
 7.648629611E-05 , 3.325161040E-01 
 7.656066113E-05 , 3.594741821E-01 
 7.658245384E-05 , 3.680617809E-01 
 7.659988801E-05 , 3.767127097E-01 
 7.661160612E-05 , 3.828513324E-01 
 7.664861702E-05 , 4.081173241E-01 
 7.665427293E-05 , 4.130141437E-01 
 7.665828666E-05 , 4.166252613E-01 
 7.666149765E-05 , 4.202440977E-01 
 7.666287483E-05 , 4.219201207E-01 
 7.666728180E-05 , 4.289297462E-01 
 7.667035600E-05 , 4.079429805E-01 
 7.667295226E-05 , 3.672098517E-01 
 7.667603505E-05 , 3.190904558E-01 
 7.667872481E-05 , 2.782874107E-01 
 7.668410433E-05 , 2.006206214E-01 
 7.669357781E-05 , 8.525446802E-02 
 7.670712721E-05 , 4.222504795E-02 
 7.672010014E-05 , 5.490536615E-02 
 7.673424490E-05 , 4.769672453E-02 
 7.674949244E-05 , 5.148654059E-02 
 7.677005517E-05 , 4.839988053E-02 
 7.678819460E-05 , 4.732206464E-02 
 7.680035358E-05 , 4.763840139E-02 
 7.680912780E-05 , 4.817277566E-02 
 7.681957959E-05 , 4.842864722E-02 
 7.683179877E-05 , 4.906231165E-02 
 7.684459479E-05 , 4.941530526E-02 
 7.685960028E-05 , 5.012149736E-02 
 7.686387411E-05 , 5.021468922E-02 
 7.686968809E-05 , 5.042658374E-02 
 7.688204463E-05 , 5.088894442E-02 
 7.689701497E-05 , 5.143093690E-02 
 7.690728890E-05 , 5.180212855E-02 
 7.694016547E-05 , 5.296948180E-02 
 7.701814136E-05 , 5.565221608E-02 
 7.717497231E-05 , 6.082632765E-02 
 7.743438067E-05 , 6.906792521E-02 
 7.775292606E-05 , 7.898248732E-02 
 7.818040669E-05 , 9.225105494E-02 
 7.857600361E-05 , 1.045531556E-01 
 7.961772426E-05 , 1.375750452E-01 
 8.056776013E-05 , 1.687021554E-01 
 8.167748575E-05 , 2.075689882E-01 
 8.261316010E-05 , 2.491160333E-01 
 8.283155014E-05 , 2.625439465E-01 
 8.311398249E-05 , 2.830765545E-01 
 8.329669574E-05 , 3.066044450E-01 
 8.340393437E-05 , 3.230415285E-01 
 8.348972527E-05 , 3.479186594E-01 
 8.352223746E-05 , 3.583908379E-01 
 8.354824720E-05 , 3.697652817E-01 
 8.356155214E-05 , 3.759233057E-01 
 8.360412792E-05 , 4.022949040E-01 
 8.361217843E-05 , 4.089004099E-01 
 8.361700121E-05 , 4.129550755E-01 
 8.362085944E-05 , 4.164865017E-01 
 8.362332541E-05 , 4.188443720E-01 
 8.363048070E-05 , 4.291463196E-01 
 8.363435846E-05 , 4.019099474E-01 
 8.363802806E-05 , 3.441023827E-01 
 8.364174757E-05 , 2.870156765E-01 
 8.364507266E-05 , 2.381138206E-01 
 8.365140392E-05 , 1.516288370E-01 
 8.365937821E-05 , 7.033660263E-02 
 8.367123305E-05 , 4.421970993E-02 
 8.368565140E-05 , 5.380444974E-02 
 8.369854081E-05 , 4.816387594E-02 
 8.371543209E-05 , 5.102975294E-02 
 8.373506965E-05 , 4.794820026E-02 
