#format table ## [Custom WaveView] saved 04:36:04 Wed Sep 24 2025
TIME ,v_u 
 4.209728812E-05 , 1.526316255E-01 
 4.231712283E-05 , 1.527050287E-01 
 4.239428654E-05 , 1.527130455E-01 
 4.262154463E-05 , 1.527207792E-01 
 4.304618616E-05 , 1.526771635E-01 
 4.368750721E-05 , 1.525400728E-01 
 4.450861467E-05 , 1.523075104E-01 
 4.536059487E-05 , 1.520340890E-01 
 4.604697909E-05 , 1.518049389E-01 
 4.620560425E-05 , 1.517525762E-01 
 4.644695441E-05 , 1.516750008E-01 
 4.658451366E-05 , 1.516376138E-01 
 4.666367321E-05 , 1.516179740E-01 
 4.671183120E-05 , 1.516105384E-01 
 4.673007738E-05 , 1.516080499E-01 
 4.674467433E-05 , 1.516069025E-01 
 4.675570448E-05 , 1.516062170E-01 
 4.678862964E-05 , 1.516069174E-01 
 4.680703891E-05 , 1.532123238E-01 
 4.681027949E-05 , 1.539607346E-01 
 4.681252463E-05 , 1.544968188E-01 
 4.681970908E-05 , 1.562699974E-01 
 4.682588974E-05 , 1.578103006E-01 
 4.683532865E-05 , 1.601987034E-01 
 4.684654656E-05 , 1.630767137E-01 
 4.686203354E-05 , 1.670253426E-01 
 4.687517757E-05 , 1.701796204E-01 
 4.689695974E-05 , 1.732301563E-01 
 4.690137841E-05 , 1.733975857E-01 
 4.690416217E-05 , 1.734940857E-01 
 4.691105910E-05 , 1.736759692E-01 
 4.691895154E-05 , 1.738203019E-01 
 4.692297140E-05 , 1.738760620E-01 
 4.692813135E-05 , 1.739365608E-01 
 4.693449205E-05 , 1.739992797E-01 
 4.694093925E-05 , 1.740525514E-01 
 4.694897763E-05 , 1.741089672E-01 
 4.695845822E-05 , 1.741643846E-01 
 4.696977221E-05 , 1.742194444E-01 
 4.698383430E-05 , 1.742753685E-01 
 4.700119521E-05 , 1.743310690E-01 
 4.700662956E-05 , 1.743453443E-01 
 4.701587221E-05 , 1.743686497E-01 
 4.703484775E-05 , 1.744099408E-01 
 4.705976047E-05 , 1.744532436E-01 
 4.707969064E-05 , 1.744787097E-01 
 4.714346721E-05 , 1.745427102E-01 
 4.731970030E-05 , 1.746100783E-01 
 4.764110546E-05 , 1.745555848E-01 
 4.795670530E-05 , 1.744208932E-01 
 4.840485748E-05 , 1.741838604E-01 
 4.898432770E-05 , 1.738303602E-01 
 5.008250122E-05 , 1.731005013E-01 
 5.082597611E-05 , 1.725864857E-01 
 5.104252687E-05 , 1.724363863E-01 
 5.135168012E-05 , 1.722228527E-01 
 5.150092971E-05 , 1.721209437E-01 
 5.170693994E-05 , 1.719819307E-01 
 5.184045206E-05 , 1.718965024E-01 
 5.193805126E-05 , 1.718358397E-01 
 5.200530345E-05 , 1.718001217E-01 
 5.202827828E-05 , 1.717883199E-01 
 5.204665815E-05 , 1.717799604E-01 
 5.205822252E-05 , 1.717748642E-01 
 5.209506550E-05 , 1.717615128E-01 
 5.210086209E-05 , 1.717599183E-01 
 5.210488438E-05 , 1.717588902E-01 
 5.210810221E-05 , 1.717590690E-01 
 5.210979656E-05 , 1.717598736E-01 
 5.211521849E-05 , 1.722290516E-01 
 5.211857487E-05 , 1.729697585E-01 
 5.212131431E-05 , 1.736532301E-01 
 5.212515759E-05 , 1.745837331E-01 
 5.212805092E-05 , 1.753001064E-01 
 5.213301032E-05 , 1.765071601E-01 
 5.213942825E-05 , 1.780815125E-01 
 5.214841210E-05 , 1.803122759E-01 
 5.215878632E-05 , 1.829367280E-01 
 5.217321225E-05 , 1.865738332E-01 
 5.218603432E-05 , 1.897582263E-01 
 5.221167846E-05 , 1.939535588E-01 
 5.222955073E-05 , 1.948432326E-01 
 5.224073066E-05 , 1.949693859E-01 
 5.224928820E-05 , 1.950399578E-01 
 5.225182504E-05 , 1.950570047E-01 
 5.225446347E-05 , 1.950741708E-01 
 5.225594703E-05 , 1.950833201E-01 
 5.226061721E-05 , 1.951106042E-01 
 5.226977446E-05 , 1.951566935E-01 
 5.228994386E-05 , 1.952338666E-01 
 5.233060283E-05 , 1.953289956E-01 
 5.238431519E-05 , 1.953891069E-01 
 5.247256345E-05 , 1.954145133E-01 
 5.264905997E-05 , 1.953504235E-01 
 5.289453735E-05 , 1.951557398E-01 
 5.297708651E-05 , 1.950737983E-01 
 5.322579716E-05 , 1.948135495E-01 
 5.368965921E-05 , 1.942812502E-01 
 5.474739010E-05 , 1.929978579E-01 
 5.540514176E-05 , 1.921723932E-01 
 5.632971879E-05 , 1.910280287E-01 
 5.708103888E-05 , 1.901227236E-01 
 5.723389417E-05 , 1.899441183E-01 
 5.743190077E-05 , 1.897166073E-01 
 5.753980462E-05 , 1.896031201E-01 
 5.757636586E-05 , 1.895654649E-01 
 5.760561485E-05 , 1.895377636E-01 
 5.761797596E-05 , 1.895262599E-01 
 5.765753150E-05 , 1.894927621E-01 
 5.766370110E-05 , 1.894882023E-01 
 5.766773107E-05 , 1.894854158E-01 
 5.767095505E-05 , 1.894996762E-01 
 5.767200076E-05 , 1.895117015E-01 
 5.767534703E-05 , 1.899126917E-01 
 5.767815035E-05 , 1.905642897E-01 
 5.768040243E-05 , 1.911018789E-01 
 5.768333945E-05 , 1.918092221E-01 
 5.768585317E-05 , 1.924157441E-01 
 5.769088059E-05 , 1.936273873E-01 
 5.770010394E-05 , 1.958585978E-01 
 5.771351189E-05 , 1.991688460E-01 
 5.772597497E-05 , 2.022811919E-01 
 5.774088961E-05 , 2.059749514E-01 
 5.775560268E-05 , 2.093571723E-01 
 5.777728404E-05 , 2.122334093E-01 
 5.779516671E-05 , 2.128142118E-01 
 5.780691830E-05 , 2.129407078E-01 
 5.781553232E-05 , 2.130039930E-01 
 5.782577452E-05 , 2.130608410E-01 
 5.783736466E-05 , 2.131089419E-01 
 5.784950194E-05 , 2.131459117E-01 
 5.786351176E-05 , 2.131771445E-01 
 5.786744750E-05 , 2.131837457E-01 
 5.787265020E-05 , 2.131919563E-01 
 5.787543648E-05 , 2.131957710E-01 
 5.788435259E-05 , 2.132064700E-01 
 5.790588851E-05 , 2.132233083E-01 
 5.795041847E-05 , 2.132304460E-01 
 5.809291434E-05 , 2.131305039E-01 
 5.829496610E-05 , 2.128444612E-01 
 5.857406722E-05 , 2.123560309E-01 
 5.866039882E-05 , 2.121931314E-01 
 5.893665991E-05 , 2.116625458E-01 
 5.945883979E-05 , 2.106321752E-01 
 6.043603173E-05 , 2.087017745E-01 
 6.148585386E-05 , 2.066769302E-01 
 6.233403931E-05 , 2.050955296E-01 
 6.262512891E-05 , 2.045707554E-01 
 6.291560292E-05 , 2.040514946E-01 
 6.306083992E-05 , 2.037968040E-01 
 6.324563415E-05 , 2.034756690E-01 
 6.338803557E-05 , 2.032387257E-01 
 6.345646656E-05 , 2.031265050E-01 
 6.350557596E-05 , 2.030507922E-01 
 6.352300127E-05 , 2.030242383E-01 
 6.357876224E-05 , 2.029464990E-01 
 6.358652442E-05 , 2.030144483E-01 
 6.359061900E-05 , 2.033086270E-01 
 6.359281772E-05 , 2.037686706E-01 
 6.359359788E-05 , 2.039380074E-01 
 6.359575416E-05 , 2.044321895E-01 
 6.359794597E-05 , 2.049483210E-01 
 6.359992472E-05 , 2.054188550E-01 
 6.360286377E-05 , 2.061173618E-01 
 6.360726869E-05 , 2.071666270E-01 
 6.361407559E-05 , 2.087933868E-01 
 6.362646070E-05 , 2.117982209E-01 
 6.363829077E-05 , 2.147093117E-01 
 6.365501392E-05 , 2.188039422E-01 
 6.366942549E-05 , 2.221208215E-01 
 6.369269269E-05 , 2.252560556E-01 
 6.371063422E-05 , 2.258347124E-01 
 6.372249802E-05 , 2.259501666E-01 
 6.373123176E-05 , 2.260055989E-01 
 6.373378886E-05 , 2.260180116E-01 
 6.373666990E-05 , 2.260314375E-01 
 6.373827036E-05 , 2.260382026E-01 
 6.374339183E-05 , 2.260580957E-01 
 6.375341350E-05 , 2.260886431E-01 
 6.377428663E-05 , 2.261273265E-01 
 6.381912063E-05 , 2.261451483E-01 
 6.388370893E-05 , 2.260905206E-01 
 6.399483104E-05 , 2.259037346E-01 
 6.419376599E-05 , 2.254564911E-01 
 6.445731427E-05 , 2.247785181E-01 
 6.481858071E-05 , 2.237982750E-01 
 6.528765030E-05 , 2.225087881E-01 
 6.544931012E-05 , 2.220671475E-01 
 6.583222880E-05 , 2.210265994E-01 
 6.666454552E-05 , 2.188212872E-01 
 6.752298499E-05 , 2.166478783E-01 
 6.838348353E-05 , 2.145697176E-01 
 6.926576858E-05 , 2.125414461E-01 
 6.943802263E-05 , 2.121615559E-01 
 6.967957120E-05 , 2.116351724E-01 
 6.982610172E-05 , 2.113313079E-01 
 6.988296294E-05 , 2.112148702E-01 
 6.992746248E-05 , 2.111287862E-01 
 6.994175004E-05 , 2.111013979E-01 
 6.998747024E-05 , 2.110191435E-01 
 7.001372372E-05 , 2.134675086E-01 
 7.001825266E-05 , 2.144925892E-01 
 7.002108763E-05 , 2.151461095E-01 
 7.003015956E-05 , 2.172834128E-01 
 7.003995208E-05 , 2.196498960E-01 
 7.005090569E-05 , 2.223295569E-01 
 7.006521659E-05 , 2.257536352E-01 
 7.007860709E-05 , 2.285959125E-01 
 7.009873141E-05 , 2.309884727E-01 
 7.011668699E-05 , 2.315270305E-01 
 7.012821765E-05 , 2.316329628E-01 
 7.013672460E-05 , 2.316834033E-01 
 7.013927921E-05 , 2.316949069E-01 
 7.014220625E-05 , 2.317074090E-01 
 7.014383225E-05 , 2.317135185E-01 
 7.014903548E-05 , 2.317314893E-01 
 7.015943291E-05 , 2.317583859E-01 
 7.018114201E-05 , 2.317874283E-01 
 7.022658156E-05 , 2.317832410E-01 
 7.029071737E-05 , 2.316979021E-01 
 7.040198674E-05 , 2.314592898E-01 
 7.060055417E-05 , 2.309233844E-01 
 7.086680275E-05 , 2.301216573E-01 
 7.122403974E-05 , 2.290038317E-01 
 7.169238387E-05 , 2.275331616E-01 
 7.233593800E-05 , 2.255478948E-01 
 7.255474785E-05 , 2.248892039E-01 
 7.292843656E-05 , 2.237766981E-01 
 7.404096584E-05 , 2.206165195E-01 
 7.474639949E-05 , 2.187218368E-01 
 7.573031790E-05 , 2.162121981E-01 
 7.592241446E-05 , 2.157451361E-01 
 7.621547135E-05 , 2.150413692E-01 
 7.639064114E-05 , 2.146361172E-01 
 7.648629611E-05 , 2.144171000E-01 
 7.656066113E-05 , 2.142553031E-01 
 7.658245384E-05 , 2.142083049E-01 
 7.659988801E-05 , 2.141717225E-01 
 7.661160612E-05 , 2.141473293E-01 
 7.664861702E-05 , 2.140732706E-01 
 7.665427293E-05 , 2.140624821E-01 
 7.665828666E-05 , 2.140549272E-01 
 7.666149765E-05 , 2.140511423E-01 
 7.666287483E-05 , 2.140507996E-01 
 7.666728180E-05 , 2.144279182E-01 
 7.667035600E-05 , 2.150870264E-01 
 7.667295226E-05 , 2.157115936E-01 
 7.667603505E-05 , 2.164280713E-01 
 7.667872481E-05 , 2.170687318E-01 
 7.668410433E-05 , 2.183379233E-01 
 7.669357781E-05 , 2.205909193E-01 
 7.670712721E-05 , 2.238724530E-01 
 7.672010014E-05 , 2.270498425E-01 
 7.673424490E-05 , 2.304737270E-01 
 7.674949244E-05 , 2.337770313E-01 
 7.677005517E-05 , 2.362817526E-01 
 7.678819460E-05 , 2.368612438E-01 
 7.680035358E-05 , 2.369638681E-01 
 7.680912780E-05 , 2.370088100E-01 
 7.681957959E-05 , 2.370443195E-01 
 7.683179877E-05 , 2.370698303E-01 
 7.684459479E-05 , 2.370828092E-01 
 7.685960028E-05 , 2.370859981E-01 
 7.686387411E-05 , 2.370845526E-01 
 7.686968809E-05 , 2.370819896E-01 
 7.688204463E-05 , 2.370729595E-01 
 7.689701497E-05 , 2.370564193E-01 
 7.690728890E-05 , 2.370411456E-01 
 7.694016547E-05 , 2.369839698E-01 
 7.701814136E-05 , 2.368022949E-01 
 7.717497231E-05 , 2.363405526E-01 
 7.743438067E-05 , 2.354704440E-01 
 7.775292606E-05 , 2.343469709E-01 
 7.818040669E-05 , 2.328352779E-01 
 7.857600361E-05 , 2.314492911E-01 
 7.961772426E-05 , 2.279434800E-01 
 8.056776013E-05 , 2.249399424E-01 
 8.167748575E-05 , 2.216672152E-01 
 8.261316010E-05 , 2.190932631E-01 
 8.283155014E-05 , 2.185219824E-01 
 8.311398249E-05 , 2.177919000E-01 
 8.329669574E-05 , 2.173353583E-01 
 8.340393437E-05 , 2.170697898E-01 
 8.348972527E-05 , 2.168656439E-01 
 8.352223746E-05 , 2.167889327E-01 
 8.354824720E-05 , 2.167293578E-01 
 8.356155214E-05 , 2.166990787E-01 
 8.360412792E-05 , 2.166055739E-01 
 8.361217843E-05 , 2.165886164E-01 
 8.361700121E-05 , 2.165784985E-01 
 8.362085944E-05 , 2.165706009E-01 
 8.362332541E-05 , 2.165656388E-01 
 8.363048070E-05 , 2.169454247E-01 
 8.363435846E-05 , 2.177095711E-01 
 8.363802806E-05 , 2.186151296E-01 
 8.364174757E-05 , 2.194693387E-01 
 8.364507266E-05 , 2.202732861E-01 
 8.365140392E-05 , 2.217586786E-01 
 8.365937821E-05 , 2.236685306E-01 
 8.367123305E-05 , 2.265316993E-01 
 8.368565140E-05 , 2.300562859E-01 
 8.369854081E-05 , 2.331645936E-01 
 8.371543209E-05 , 2.365060896E-01 
